1
44 667
9 16 20
34 25 8
17 13 42
21 36 40
11 24 15
5 40 27
10 22 36
38 2 18
27 22 8
1 5 6
42 21 19
43 14 14
22 33 10
41 9 43
26 29 4
13 39 6
21 28 29
6 18 12
9 22 4
35 26 11
28 27 29
29 37 20
37 9 12
26 20 11
30 37 10
41 13 28
30 42 43
22 6 18
16 22 37
30 14 4
18 1 12
4 37 6
33 9 18
31 23 39
10 18 22
34 30 32
4 10 24
25 44 28
7 14 11
18 22 38
34 13 4
28 4 25
36 3 7
6 29 48
15 1 37
39 5 33
39 8 39
18 11 23
36 23 34
7 35 1
32 43 16
19 18 17
27 19 32
32 8 20
1 38 4
5 21 46
10 13 20
17 37 7
24 16 8
44 13 26
37 11 4
16 5 43
14 3 17
27 40 36
34 43 48
37 2 41
20 17 46
24 1 5
31 41 33
35 20 14
25 37 2
31 28 24
18 17 3
3 24 7
6 40 7
20 4 10
40 2 14
10 44 26
12 27 31
12 17 37
37 36 38
17 19 32
19 6 44
34 4 13
4 24 7
12 15 12
27 29 16
12 20 3
26 44 30
27 8 36
7 19 3
7 13 34
34 31 15
3 13 34
13 6 40
36 27 44
167
18 35 69 8
13 44 10 14
23 8 29 17
37 19 34 21
21 24 95 29
20 19 73 36
5 44 86 44
41 12 10 46
43 31 19 56
30 26 37 61
35 31 89 68
25 27 36 74
44 43 95 77
42 5 1 87
21 44 28 95
1 8 57 102
20 6 49 107
30 36 41 113
43 30 79 115
2 14 44 116
42 7 16 122
10 36 7 128
15 37 27 137
11 33 33 144
24 40 35 146
8 27 7 153
18 19 73 157
43 31 74 166
36 1 53 173
17 32 13 181
27 33 39 185
44 24 85 188
14 34 74 193
25 44 28 196
2 28 28 203
11 35 57 211
26 35 58 221
43 3 96 222
7 19 73 227
19 30 96 236
35 28 20 242
1 33 83 246
8 20 48 251
24 36 21 255
23 6 38 261
44 23 72 264
33 21 25 268
36 38 51 269
23 30 53 276
1 11 35 281
36 29 29 287
13 17 79 297
4 18 14 304
8 36 61 313
17 32 25 314
19 7 19 321
18 43 96 330
14 21 83 333
6 5 37 341
37 14 12 347
44 34 14 357
31 26 55 362
23 4 45 372
44 6 91 374
24 15 18 384
8 22 44 393
21 44 17 397
43 27 89 404
10 6 98 409
42 14 35 419
18 7 23 420
37 11 84 427
4 11 33 431
8 36 51 441
4 38 63 449
5 20 35 450
2 22 52 459
10 27 82 465
42 22 5 468
26 3 4 474
38 9 82 477
32 10 43 483
1 2 5 488
33 3 58 495
34 4 50 499
1 3 62 508
9 14 19 517
19 18 68 521
44 30 28 528
43 30 98 530
29 37 55 540
3 41 27 545
44 21 5 546
7 31 46 551
28 15 4 554
29 2 9 559
40 44 10 561
31 39 26 570
42 16 83 579
18 29 44 588
17 37 73 598
35 34 83 602
40 29 25 603
8 21 65 608
41 12 40 617
6 27 61 627
41 11 73 628
18 30 41 631
28 20 33 640
38 11 6 647
10 16 54 654
3 4 25 658
35 19 79 668
14 31 16 674
42 30 41 676
35 27 14 685
32 10 16 693
7 2 42 702
43 5 49 710
24 15 72 715
29 23 12 720
5 1 66 728
43 3 8 729
14 25 98 737
8 20 78 747
26 34 86 750
28 38 11 756
9 38 54 758
18 33 27 766
39 31 98 767
2 27 84 777
35 30 6 784
43 41 56 794
24 15 82 795
3 14 21 804
11 1 47 814
42 1 11 821
24 1 39 825
39 44 56 832
11 44 77 835
13 44 90 836
19 43 70 839
43 37 34 847
5 30 89 851
15 16 100 860
39 35 32 862
4 39 23 872
8 28 13 881
9 3 87 884
38 35 56 894
35 20 1 900
40 31 9 905
34 27 36 909
9 4 87 914
12 42 51 923
26 41 96 929
36 12 91 935
15 4 73 939
13 30 42 946
29 8 18 953
24 25 94 961
17 19 22 970
16 19 69 979
5 3 39 983
21 27 12 990
40 33 91 997
2 22 67 999
